name,data
Cavern_Coll,BRUYGiAhIiotMA==
Cemetery_Coll,ARATGyJCUg==
Club_Coll,DxofJigpLC0uL0E=
Facility_Coll,ARARExsgISIwMTJCQ0hSVVhe
Forest_Coll,HiAuMDQ3OTpAUVJaXF5f
Gate_Coll,ARIUGhw3ODs8Xg==
Gym_Coll,ERYZKzw9P0pMTQM=
House_Coll,ARIUKDI3RFRc
Interior_Coll,BA8VHztFR1VW
Lab_Coll,DCYWHjQ3
Lobby_Coll,FBcaHCA4RQ==
Mansion_Coll,AQUREhQaHCxT
Overworld_Coll,ABAbICEjLC0uMDEzOTw+UlRYWw==
Plateau_Coll,GyMsLTtF
Pokecenter_Coll,ERocPF4=
RedsHouse_Coll,AQIDERITFBwa
Ship_Coll,BA0XHR4jNDc5Sg==
ShipPort_Coll,ChoyOw==
Underground_Coll,CwwTFRg=
