address,size,type,name
FF8A,1,u8,hSoftReset
FF8B,1,u8,hBaseTileID
FF8B,3,bcd6,hItemPrice
FF8B,1,big_u16,hDexWeight
FF8B,1,u8,hWarpDestinationMap
FF8B,1,u8,hOAMTile
FF8B,1,u8,hROMBankTemp
FF8B,1,u8,hPreviousTileset
FF8B,1,u8,hEastWestConnectedMapWidth
FF8B,1,u8,hSlideAmount
FF8B,1,u8,hRLEByteValue
FF8B,1,u8,H_SPRITEINTERLACECOUNTER
FF8B,1,u8,H_DOWNARROWBLINKCNT1
FF8B,1,u8,H_SPRITEDATAOFFSET
FF8B,1,u8,hMapStride
FF8B,1,u8,hNorthSouthConnectionStripWidth
FF8B,1,u8,H_SPRITEWIDTH
FF8C,1,u8,H_DOWNARROWBLINKCNT2
FF8C,1,u8,H_SPRITEINDEX
FF8C,1,u8,hMapWidth
FF8C,1,u8,hNorthSouthConnectedMapWidth
FF8C,1,u8,hSpriteIndexOrTextID
FF8C,1,u8,hPartyMonIndex
FF8C,1,u8,hSlidingRegionSize
FF8C,1,u8,H_SPRITEHEIGHT
FF8D,1,u8,H_SPRITEOFFSET
FF8D,2,big_u16,hEnemySpeed
FF8D,1,u8,hVRAMSlot
FF8D,1,u8,hSlideDirection
FF8D,1,u8,hSpriteFacingDirection
FF8D,1,u8,hSpriteMovementByte2
FF8D,1,u8,hSpriteImageIndex
FF8D,1,u8,hLoadSpriteTemp1
FF8E,1,u8,hFourTileSpriteCount
FF8E,1,u8,hLoadSpriteTemp2
FF8E,1,u8,hHalveItemPrices
FF8F,1,u8,hSpriteOffset2
FF8F,1,u8,hCollisionLoopCounter
FF90,1,u8,hOAMBufferOffset
FF90,1,u8,hCollisionAdjustedY
FF91,1,u8,hSpriteScreenX
FF91,1,u8,hCollisionAdjustedX
FF92,1,u8,hSpriteScreenY
FF92,1,u8,hShiftedAdjustment
FF93,1,u8,hTilePlayerStandingOn
FF93,1,u8,hCurrentSpriteOffset2
FF94,1,u8,hSpritePriority
FF95,2,big_u16,hSignCoordPointer
FF95,1,u8,hNPCMovementDirections2Index
FF95,1,u8,hNPCSpriteOffset
FF95,1,u8,hSwapTemp
FF95,1,u8,hNPCPlayerYDistance
FF95,4,big_u32,H_PRODUCT
FF95,4,big_u32,H_DIVIDEND
FF95,4,big_u32,H_QUOTIENT
FF95,1,u8,H_PASTLEADINGZEROES
FF96,1,u8,hNPCPlayerXDistance
FF96,3,big_u24,hExperience
FF96,3,big_u24,H_MULTIPLICAND
FF96,3,big_u24,H_NUMTOPRINT
FF97,1,u8,hFindPathNumSteps
FF98,1,u8,hFindPathFlags
FF99,1,u8,hFindPathYProgress
FF99,1,u8,H_MULTIPLIER
FF99,1,u8,H_DIVISOR
FF99,1,u8,H_REMAINDER
FF99,3,big_u24,H_POWEROFTEN
FF9A,5,u8[5],H_DIVIDEBUFFER
FF9A,1,u8,hFindPathXProgress
FF9B,4,u8[4],H_MULTIPLYBUFFER
FF9B,1,u8,hNPCPlayerRelativePosPerspective
FF9C,3,u24,H_SAVEDNUMTOPRINT
FF9D,1,u8,hNPCPlayerRelativePosFlags
FF9F,1,u8,hUnusedCoinsByte
FF9F,3,bcd6,hMoney
FFA0,2,bcd4,hCoins
FFA2,3,bcd6,hDivideBCDDivisor
FFA2,3,bcd6,hDivideBCDQuotient
FFA9,1,u8,hSerialReceivedNewData
FFAA,1,SerialConnectionStatus,hSerialConnectionStatus
FFAB,1,u8,hSerialIgnoringInitialData
FFAC,1,u8,hSerialSendData
FFAD,1,u8,hSerialReceiveData
FFAE,1,u8,hSCX
FFAF,1,u8,hSCY
FFB0,1,u8,hWY
FFB1,1,InputBitmap_t,hJoyLast
FFB2,1,InputBitmap_t,hJoyReleased
FFB3,1,InputBitmap_t,hJoyPressed
FFB4,1,InputBitmap_t,hJoyHeld
FFB5,1,InputBitmap_t,hJoy5
FFB6,1,u8,hJoy6
FFB7,1,u8,hJoy7
FFB8,1,u8,H_LOADEDROMBANK
FFB9,1,u8,hSavedROMBank
FFBA,1,u8,H_AUTOBGTRANSFERENABLED
FFBB,1,u8,H_AUTOBGTRANSFERPORTION
FFBC,2,big_u16,H_AUTOBGTRANSFERDEST
FFBF,2,big_u16,H_SPTEMP
FFC1,2,u16,H_VBCOPYBGSRC
FFC3,2,u16,H_VBCOPYBGDEST
FFC5,1,u8,H_VBCOPYBGNUMROWS
FFC6,1,u8,H_VBCOPYSIZE
FFC7,2,u16,H_VBCOPYSRC
FFC9,2,u16,H_VBCOPYDEST
FFCB,1,u8,H_VBCOPYDOUBLESIZE
FFCC,2,u16,H_VBCOPYDOUBLESRC
FFCE,2,u16,H_VBCOPYDOUBLEDEST
FFD0,1,u8,hRedrawRowOrColumnMode
FFD1,2,u16,hRedrawRowOrColumnDest
FFD3,1,u8,hRandomAdd
FFD4,1,u8,hRandomSub
FFD5,1,u8,H_FRAMECOUNTER
FFD6,1,u8,H_VBLANKOCCURRED
FFD7,1,u8,hTilesetType
FFD8,1,u8,hMovingBGTilesCounter1
FFDA,1,u8,H_CURRENTSPRITEOFFSET
FFDB,1,u8,hItemCounter
FFDB,1,u8,hGymGateIndex
FFDB,1,u8,hGymTrashCanRandNumMask
FFDB,1,u8,hDexRatingNumMonsSeen
FFDB,1,u8,hOaksAideResult
FFDB,1,u8,hItemToRemoveID
FFDB,1,u8,hVendingMachineItem
FFDB,1,u8,hOaksAideRequirement
FFDC,1,u8,hDexRatingNumMonsOwned
FFDC,1,u8,hOaksAideRewardItem
FFDC,1,u8,hItemToRemoveIndex
FFDC,3,bcd6,hVendingMachinePrice
FFDD,1,u8,hOaksAideNumMonsOwned
FFE1,1,u8,hStartTileID
FFE4,1,u8,hNewPartyLength
FFE5,1,u8,hDividend2
FFE5,1,u8,hIsObjectHidden
FFE6,1,u8,hDivisor2
FFE7,1,u8,hQuotient2
FFE9,1,u8,hSpriteVRAMSlotAndFacing
FFEA,1,u8,hCoordsInFrontOfPlayerMatch
FFEA,1,u8,hSpriteAnimFrameCounter
FFF3,1,u8,H_WHOSETURN
FFF4,1,wLetterPrintingDelayFlags_t,hPokedexTextFlags
FFF6,1,hFlags_FFF6_t,hFlags_0xFFF6
FFF7,1,u8,hFieldMoveMonMenuTopMenuItemX
FFF8,1,InputBitmap_t,hJoyInput
FFF9,1,u8,hDisableJoypadPolling
