name,data
AgathaMapData,R0c2R0dnNjZOZVJONmVSZWc2ZWVSSzZlUmdSNmho
BikeShopMapData,BAUCAwgIBgcLCgoKCgEKCQ==
BillsHouseMapData,BAUGBwgJCgsBAg4OAwwDAw==
BluesHouseMapData,BA4FCQ8BAg8PDA0PBgsPBw==
BrunoMapData,AQEFAQEIBQUFCgwSBRMNDAoFCwwIBwUMCA0RBQoN
CeladonCityMapData,D2xsbGxsbGxsbGxsbGxsbGxsbGxsbGxsDw8KCgoKCgoKCgpvbwpvb28Kb29vb29vCm4PICFVVVVVIA0hVSANIVVVVVVVVVVVVW1uD2hpIA0NIWh/aVVof2kgISAhICEgIVVtbg83fmh/f2k3fX55Nzp+N343fjd+fHJVDw8PVVVof39pVVVVVVVVVVVVVVVVVVVVVVVVD1VVNzo6c1VVVVVVVVVVVVVVVVVVVVUPDw9VVVVVVVVVVXkwCQNWd3d3d1V3d3d3Dw8PVVVVVVVVVVVVTlRNIA0hICFVICEgIQ9ud1VVVVVVVVVVVWcfajc6fnx+VTd+N34Pbg9VVVVVVVVVVVUYQxlWd3dWd1VWd3d3NW4PVVVVVVVVVVVVVVVVVVVVVVVVVVVVVW1uDyAhDA0NDiAhICFVVSAhICEgISAhICEKbg83fhARERI3fjd+VVU3fnx+fH43fnx+Cm4PVVVVVVV5VVUgIVVVVVVVVVVVVVVVVQpuDwcvBwcHBwcHN35VVVVVVVVVVVVVVVUKbg8KCgoKCgoKCgoKbGxsbGxsMjZsbGxsCm4Pb29vb29vb29vb29vb29vb282b29vb28P
CeladonDinerMapData,LCouMjAdICEUCy0gIRQLMSgpFRE=
CeladonGameCornerMapData,Dw8PDw8PDw8PDw8PDw8PDw8PDw8KCgoKNCoqKkMqLy8vMyAgGxsbGzogIDogIDogIDo5HyE5HyE5HyE5OR8hOR8hOR8hOTgfITgfITgfITggICAgICAgKCkg
CeladonGymMapData,AQEBAQEzODo5MzM8Mz0zMzs/PjMzNAU0MzUFBQU2MzQFNDMFMgUxBQUFBAUF
CeladonHotelMapData,DAwMDAwMDgcHBwcHBwcIDw8PDw8PDgoLDg8PDg==
CeladonHouseMapData,REA/RAtCQwsLRkcLNkELNg==
CeladonMansion1MapData,DwECAyQqBgcLCwQHEAsIBwwMDQcHBz4H
CeladonMansion2MapData,DxQVGRERGgcnCwQHKxITBy8MDQcHBwcH
CeladonMansion3MapData,DxYXGA4oKQcjLC0HCgsIBwwMDQcHBwcH
CeladonMansion4MapData,RTscGz0HHR0hIh0dJSYdHTMfHh0gHx8e
CeladonMansion5MapData,BRITCQ8UFQ8PGBkPBgsPBw==
CeladonMart1MapData,DA0BGAEZAiUHAQsLCxQLFwsLEgkLCwsVESYLCwsJCwgLCwsLCwsICw==
CeladonMart2MapData,DA0YGQEBAyUCAQsLFBcLGhoLGhoLCxUWCx4eCx4eCwsLCwsKCgsKCg==
CeladonMart3MapData,DA0kJCQkAiUDDgsLCwsLCwsLCxILBAUGCwsQERERCwQFBgsLFAsKCg==
CeladonMart4MapData,DA0BAQEBAyUCAQsaGhoaCxoaGgsLHh4eHgseHh4LEREREScLCgoKCw==
CeladonMart5MapData,DA0YGQEBAiUDAQsLFBcLGhoLGhoLCxUWCx4eCx4eCwsLCwsKCgsKCg==
CeladonMartElevatorMapData,KisoKQ==
CeladonMartRoofMapData,NhwcHBwbOz8/QTYhHR8gIDxDKkE2ICAhHR8gICBBNjc3Nzc3Nzc3QQ==
CeladonPokecenterMapData,IBABAgwNDSEEBQcHIiMIDw8PDw8bDgoLDg8PDg==
CeladonPrizeRoomMapData,P0BAQD8+Pj4+PiAgICAgGxs9Gxs=
CeruleanCityMapData,LCwsLCwsKUNDGVROChhDQ0NDQ0MsLCtXV1clQ0MZVFAHGENDQ0NDQywsKUNDQ0NDQxkKTgoYQ0NDQ0NDLCwpGWxsbGxsNgptbmxsbGwPD20sLCkZVVVVVVVuCm1uVVVVVQ8PbVdXcBkCCQMwCQMBAQECCQMBMAkDMTExGQEBAQEBAQEKAQoKChsKCk4fHx8ZXAcCCQMgIQoBAQEBGwEBUGtraxUBCgoKCnxyBwwNDQ4BCgEKAQEBAQEBAQEBAQEIEBEREhovXGJRUU4BCnR0dHR0dAEBCDExMV8BTnR0TgEBASAhAQEBASAhdHR0XwFOdHROAQpWfH4BMAkDfHMwCQNfAU50dE4BAQEBAQEBAQEBAQEBAV8BTnR0YmxsbGw2VjJsbGxsbGxsbAFOdHROAQEBAQEBAQEBAQEBAQEBAU50dFBSUm1dbgcHBwdOXU1SUlJSTnR0dHR0bSduCgoKCk4nTXR0dHR0
CeruleanGymMapData,FBQhFBQVIyIjFhUeHh8WFRwdIBYVGwUXFhUaBRkWGBgEGBg=
CeruleanHouse2MapData,PQk9PQsLBwYLCwssCxsLNQ==
CeruleanHouseTrashedMapData,Gh8WFx4cHRsPICEPBgsbIg==
CeruleanMartMapData,EhMTCRYPFBQYGRUVFxoLDw==
CinnabarGymMapData,QGFhQEBhQUFBQUQODkREDg5ZDg5EDg5ERA4ORA4Oa2MORGtjDmtjDkQODkREDg5EDg5EDg5ERA4OUFgOa2MORGtjDkRFDkQODkhVDg5EDg5EDg4ODg4ORCwO
CinnabarIslandMapData,GGQgDSF7ewwNDhhkNzp+e3kQERIYZHt7eXt7e3t7GGQgDSF7e3t7exhkNzp+ICEgIXsYZHt7eXxyfHN7GC0ee3t7e3t7exhDLR8fHx8fHx8Ua2tra2tra2tr
ColosseumMapData,GxcTGxcKEBESCgoUFRYKChgZGgo=
CopycatsHouse1FMapData,BAkFBw8PDw8PAQIPDwsPDw==
CopycatsHouse2FMapData,EBEFCA8PDw8PDQ8PDA8PEg==
DiglettsCaveMapData,GRkZGRkZGRkZGRkZGRkZGRkZGRkZLB0rGRkZGRkZGRkZGRkZGRkZGRkaPhgZGRkZGRkZGRkZGRkZGRkZGRoBGBkZGRkZGRkZGRkZGRkZGRkZGgEYGRkZGRkZGRkZGRkZGRkZGRkaARgZGRkZGRkZGRkZGRkZGRkZGRoBHB0rGRkZGRkZGRkZGRkZGRkZGgEBARgZGRkZGRkZGRkZGRkZGRkaAQEBHB0rGRkZGRkZGRkZGRkZGRkVFgEBARgZGRkZGRkZGRkZGRkZGRkaAQEBGBkZGRkZGRkZGRkZGRkZGRkVFgEYGRkZGRkZGRkZGRkZGRkZGRkaARwdHR0dHSsZGRkZGRkZGRkZGRoBAQEBAQEBGBkZGRkZGRkZGRkZGgEBAQEBAQEcHR0dHR0rGRkZGRkZFRUVFRUWAQEBAQEBPhgZGRkZGRkZGRkZGRkVFRUVFgEBGBkZGRkZGRkZGRkZGRkZGRkZFRUZ
DiglettsCaveEntranceRoute11MapData,fX19fQYBAX0GASd9CiQEfQ==
