id,name,object_name,type,x,y,param1,param2,param3,param4,param5,param6,param7
1,AgathaObject,,warp,4,11,0,Bruno,2,,,,
2,AgathaObject,,warp,5,11,1,Bruno,3,,,,
3,AgathaObject,,warp,4,0,2,Lance,0,,,,
4,AgathaObject,,warp,5,0,3,Lance,0,,,,
5,AgathaObject,,trainer,5,2,AgathaSprite,Down,false,0,1,OppAgatha,1
6,AgathaObject,,event_disp,11,4,,,,,,,
7,AgathaObject,,event_disp,11,5,,,,,,,
8,AgathaObject,,event_disp,0,4,,,,,,,
9,AgathaObject,,event_disp,0,5,,,,,,,
10,BikeShopObject,,warp,2,7,0,var:LastOutdoorsMap,4,,,,
11,BikeShopObject,,warp,3,7,1,var:LastOutdoorsMap,4,,,,
12,BikeShopObject,,npc,6,2,BikeShopGuySprite,None,false,0,1,,
13,BikeShopObject,,npc,5,6,MomGeishaSprite,,true,1,2,,
14,BikeShopObject,,npc,1,3,BugCatcherSprite,Up,false,0,3,,
15,BikeShopObject,,event_disp,7,2,,,,,,,
16,BikeShopObject,,event_disp,7,3,,,,,,,
17,BikeShopObject,,hidden,1,0,208,PrintNewBikeText,,,,,
18,BikeShopObject,,hidden,2,1,208,PrintNewBikeText,,,,,
19,BikeShopObject,,hidden,1,2,208,PrintNewBikeText,,,,,
20,BikeShopObject,,hidden,3,2,208,PrintNewBikeText,,,,,
21,BikeShopObject,,hidden,0,4,208,PrintNewBikeText,,,,,
22,BikeShopObject,,hidden,1,5,208,PrintNewBikeText,,,,,
23,BillsHouseObject,,warp,2,7,0,var:LastOutdoorsMap,0,,,,
24,BillsHouseObject,,warp,3,7,1,var:LastOutdoorsMap,0,,,,
25,BillsHouseObject,,npc,6,5,SlowbroSprite,None,false,0,1,,
26,BillsHouseObject,,npc,4,4,BlackHairBoy2Sprite,None,false,0,2,,
27,BillsHouseObject,,npc,6,5,BlackHairBoy2Sprite,None,false,0,3,,
28,BillsHouseObject,,event_disp,7,2,,,,,,,
29,BillsHouseObject,,event_disp,7,3,,,,,,,
30,BillsHouseObject,,hidden,1,4,4,BillsHousePC,,,,,
31,BluesHouseObject,,warp,2,7,0,var:LastOutdoorsMap,1,,,,
32,BluesHouseObject,,warp,3,7,1,var:LastOutdoorsMap,1,,,,
33,BluesHouseObject,,npc,2,3,DaisySprite,Right,false,0,1,,
34,BluesHouseObject,,item,6,4,DaisySprite,,true,1,2,,
35,BluesHouseObject,,item,3,3,BookMapDexSprite,None,false,0,3,,
36,BluesHouseObject,,event_disp,7,2,,,,,,,
37,BluesHouseObject,,event_disp,7,3,,,,,,,
38,BluesHouseObject,,hidden,0,1,4,PrintBookcaseText,,,,,
39,BluesHouseObject,,hidden,1,1,4,PrintBookcaseText,,,,,
40,BluesHouseObject,,hidden,7,1,4,PrintBookcaseText,,,,,
41,BrunoObject,,warp,4,11,0,Lorelei,2,,,,
42,BrunoObject,,warp,5,11,1,Lorelei,3,,,,
43,BrunoObject,,warp,4,0,2,Agatha,0,,,,
44,BrunoObject,,warp,5,0,3,Agatha,1,,,,
45,BrunoObject,,trainer,5,2,BrunoSprite,Down,false,0,1,OppBruno,1
46,BrunoObject,,event_disp,11,4,,,,,,,
47,BrunoObject,,event_disp,11,5,,,,,,,
48,BrunoObject,,event_disp,0,4,,,,,,,
49,BrunoObject,,event_disp,0,5,,,,,,,
50,CeladonCityObject,,warp,8,13,0,CeladonMart1,0,,,,
51,CeladonCityObject,,warp,10,13,1,CeladonMart1,2,,,,
52,CeladonCityObject,,warp,24,9,2,CeladonMansion1,0,,,,
53,CeladonCityObject,,warp,24,3,3,CeladonMansion1,2,,,,
54,CeladonCityObject,,warp,25,3,4,CeladonMansion1,2,,,,
55,CeladonCityObject,,warp,41,9,5,CeladonPokecenter,0,,,,
56,CeladonCityObject,,warp,12,27,6,CeladonGym,0,,,,
57,CeladonCityObject,,warp,28,19,7,CeladonGameCorner,0,,,,
58,CeladonCityObject,,warp,39,19,8,CeladonMart5,0,,,,
59,CeladonCityObject,,warp,33,19,9,CeladonPrizeRoom,0,,,,
60,CeladonCityObject,,warp,31,27,10,CeladonDiner,0,,,,
61,CeladonCityObject,,warp,35,27,11,CeladonHouse,0,,,,
62,CeladonCityObject,,warp,43,27,12,CeladonHotel,0,,,,
63,CeladonCityObject,,sign,27,15,10,,,,,,
64,CeladonCityObject,,sign,19,15,11,,,,,,
65,CeladonCityObject,,sign,42,9,12,,,,,,
66,CeladonCityObject,,sign,13,29,13,,,,,,
67,CeladonCityObject,,sign,21,9,14,,,,,,
68,CeladonCityObject,,sign,12,13,15,,,,,,
69,CeladonCityObject,,sign,39,21,16,,,,,,
70,CeladonCityObject,,sign,33,21,17,,,,,,
71,CeladonCityObject,,sign,27,21,18,,,,,,
72,CeladonCityObject,,npc,8,17,LittleGirlSprite,,true,0,1,,
73,CeladonCityObject,,npc,11,28,OldPersonSprite,Up,false,0,2,,
74,CeladonCityObject,,npc,14,19,GirlSprite,,true,1,3,,
75,CeladonCityObject,,npc,25,22,OldPersonSprite,Down,false,0,4,,
76,CeladonCityObject,,npc,22,16,OldPersonSprite,Down,false,0,5,,
77,CeladonCityObject,,npc,32,12,Fisher2Sprite,Left,false,0,6,,
78,CeladonCityObject,,npc,30,12,SlowbroSprite,Right,false,0,7,,
79,CeladonCityObject,,npc,32,29,RocketSprite,,true,2,8,,
80,CeladonCityObject,,npc,42,14,RocketSprite,,true,2,9,,
81,CeladonCityObject,,event_disp,13,8,,,,,,,
82,CeladonCityObject,,event_disp,13,10,,,,,,,
83,CeladonCityObject,,event_disp,9,24,,,,,,,
84,CeladonCityObject,,event_disp,3,24,,,,,,,
85,CeladonCityObject,,event_disp,3,25,,,,,,,
86,CeladonCityObject,,event_disp,9,41,,,,,,,
87,CeladonCityObject,,event_disp,27,12,,,,,,,
88,CeladonCityObject,,event_disp,19,28,,,,,,,
89,CeladonCityObject,,event_disp,19,39,,,,,,,
90,CeladonCityObject,,event_disp,19,33,,,,,,,
91,CeladonCityObject,,event_disp,27,31,,,,,,,
92,CeladonCityObject,,event_disp,27,35,,,,,,,
93,CeladonCityObject,,event_disp,27,43,,,,,,,
94,CeladonCityObject,,hidden,48,15,PpUp,HiddenItems,,,,,
95,CeladonDinerObject,,warp,3,7,0,var:LastOutdoorsMap,10,,,,
96,CeladonDinerObject,,warp,4,7,1,var:LastOutdoorsMap,10,,,,
97,CeladonDinerObject,,npc,8,5,CookSprite,,true,2,1,,
98,CeladonDinerObject,,npc,7,2,MomGeishaSprite,None,false,0,2,,
99,CeladonDinerObject,,npc,1,4,FatBaldGuySprite,Down,false,0,3,,
100,CeladonDinerObject,,npc,5,3,Fisher2Sprite,Right,false,0,4,,
101,CeladonDinerObject,,npc,0,1,GymHelperSprite,Down,false,0,5,,
102,CeladonDinerObject,,event_disp,7,3,,,,,,,
103,CeladonDinerObject,,event_disp,7,4,,,,,,,
104,CeladonGameCornerObject,,warp,15,17,0,var:LastOutdoorsMap,7,,,,
105,CeladonGameCornerObject,,warp,16,17,1,var:LastOutdoorsMap,7,,,,
106,CeladonGameCornerObject,,warp,17,4,2,RocketHideout1,1,,,,
107,CeladonGameCornerObject,,sign,9,4,12,,,,,,
108,CeladonGameCornerObject,,npc,2,6,FoulardWomanSprite,Down,false,0,1,,
109,CeladonGameCornerObject,,npc,5,6,MartGuySprite,Down,false,0,2,,
110,CeladonGameCornerObject,,npc,2,10,FatBaldGuySprite,Left,false,0,3,,
111,CeladonGameCornerObject,,npc,2,13,FoulardWomanSprite,Left,false,0,4,,
112,CeladonGameCornerObject,,npc,5,11,FisherSprite,Right,false,0,5,,
113,CeladonGameCornerObject,,npc,8,11,MomGeishaSprite,Left,false,0,6,,
114,CeladonGameCornerObject,,npc,8,14,GymHelperSprite,Left,false,0,7,,
115,CeladonGameCornerObject,,npc,11,15,GamblerSprite,Right,false,0,8,,
116,CeladonGameCornerObject,,npc,14,11,MartGuySprite,Left,false,0,9,,
117,CeladonGameCornerObject,,npc,17,13,GentlemanSprite,Right,false,0,10,,
118,CeladonGameCornerObject,,trainer,9,5,RocketSprite,Up,false,0,11,OppRocket,7
119,CeladonGameCornerObject,,event_disp,17,15,,,,,,,
120,CeladonGameCornerObject,,event_disp,17,16,,,,,,,
121,CeladonGameCornerObject,,event_disp,4,17,,,,,,,
122,CeladonGameCornerObject,,hidden,18,15,208,StartSlotMachine,,,,,
123,CeladonGameCornerObject,,hidden,18,14,208,StartSlotMachine,,,,,
124,CeladonGameCornerObject,,hidden,18,13,208,StartSlotMachine,,,,,
125,CeladonGameCornerObject,,hidden,18,12,208,StartSlotMachine,,,,,
126,CeladonGameCornerObject,,hidden,18,11,208,StartSlotMachine,,,,,
127,CeladonGameCornerObject,,hidden,18,10,255,StartSlotMachine,,,,,
128,CeladonGameCornerObject,,hidden,13,10,208,StartSlotMachine,,,,,
