id,name
0,NoAdditionalEffect
1,UnusedEffect01
2,PoisonSideEffect1
3,DrainHpEffect
4,BurnSideEffect1
5,FreezeSideEffect
6,ParalyzeSideEffect1
7,ExplodeEffect
8,DreamEaterEffect
9,MirrorMoveEffect
10,AttackUp1Effect
11,DefenseUp1Effect
12,SpeedUp1Effect
13,SpecialUp1Effect
14,AccuracyUp1Effect
15,EvasionUp1Effect
16,PayDayEffect
17,SwiftEffect
18,AttackDown1Effect
19,DefenseDown1Effect
20,SpeedDown1Effect
21,SpecialDown1Effect
22,AccuracyDown1Effect
23,EvasionDown1Effect
24,ConversionEffect
25,HazeEffect
26,BideEffect
27,ThrashPetalDanceEffect
28,SwitchAndTeleportEffect
29,TwoToFiveAttacksEffect
30,UnusedEffect1e
31,FlinchSideEffect1
32,SleepEffect
33,PoisonSideEffect2
34,BurnSideEffect2
35,UnusedEffect23
36,ParalyzeSideEffect2
37,FlinchSideEffect2
38,OhkoEffect
39,ChargeEffect
40,SuperFangEffect
41,SpecialDamageEffect
42,TrappingEffect
43,FlyEffect
44,AttackTwiceEffect
45,JumpKickEffect
46,MistEffect
47,FocusEnergyEffect
48,RecoilEffect
49,ConfusionEffect
50,AttackUp2Effect
51,DefenseUp2Effect
52,SpeedUp2Effect
53,SpecialUp2Effect
54,AccuracyUp2Effect
55,EvasionUp2Effect
56,HealEffect
57,TransformEffect
58,AttackDown2Effect
59,DefenseDown2Effect
60,SpeedDown2Effect
61,SpecialDown2Effect
62,AccuracyDown2Effect
63,EvasionDown2Effect
64,LightScreenEffect
65,ReflectEffect
66,PoisonEffect
67,ParalyzeEffect
68,AttackDownSideEffect
69,DefenseDownSideEffect
70,SpeedDownSideEffect
71,SpecialDownSideEffect
72,UnusedEffect48
73,UnusedEffect49
74,UnusedEffect4a
75,UnusedEffect4b
76,ConfusionSideEffect
77,TwineedleEffect
78,UnusedEffect4e
79,SubstituteEffect
80,HyperBeamEffect
81,RageEffect
82,MimicEffect
83,MetronomeEffect
84,LeechSeedEffect
85,SplashEffect
86,DisableEffect
