species_id,pokedex_id,name,base_hp,base_attack,base_defense,base_speed,base_special,type1,type2,catch_rate,base_xp_yield,initial_attack1,initial_attack2,initial_attack3,initial_attack4,growth_rate,tmlearn_bitmap1,tmlearn_bitmap2,tmlearn_bitmap3,tmlearn_bitmap4,tmlearn_bitmap5,tmlearn_bitmap6,tmlearn_bitmap7,padding
0,0,None,,,,,,,,,,,,,,,,,,,,,,
153,1,Bulbasaur,45,49,49,45,65,Grass,Poison,45,64,Tackle,Growl,,,3,164,3,56,192,3,8,6,0
9,2,Ivysaur,60,62,63,60,80,Grass,Poison,45,141,Tackle,Growl,LeechSeed,,3,164,3,56,192,3,8,6,0
154,3,Venusaur,80,82,83,80,100,Grass,Poison,45,208,Tackle,Growl,LeechSeed,VineWhip,3,164,67,56,192,3,8,6,0
176,4,Charmander,39,52,43,65,50,Fire,Fire,45,65,Scratch,Growl,,,3,181,3,79,200,227,8,38,0
178,5,Charmeleon,58,64,58,80,65,Fire,Fire,45,142,Scratch,Growl,Ember,,3,181,3,79,200,227,8,38,0
180,6,Charizard,78,84,78,100,85,Fire,Flying,45,209,Scratch,Growl,Ember,Leer,3,181,67,79,206,227,8,38,0
177,7,Squirtle,44,48,65,43,50,Water,Water,45,66,Tackle,TailWhip,,,3,177,63,15,200,131,8,50,0
179,8,Wartortle,59,63,80,58,65,Water,Water,45,143,Tackle,TailWhip,Bubble,,3,177,63,15,200,131,8,50,0
28,9,Blastoise,79,83,100,78,85,Water,Water,45,210,Tackle,TailWhip,Bubble,WaterGun,3,177,127,15,206,131,8,50,0
123,10,Caterpie,45,30,35,45,20,Bug,Bug,255,53,Tackle,StringShot,,,0,0,0,0,0,0,0,0,0
124,11,Metapod,50,20,55,30,25,Bug,Bug,120,72,Harden,,,,0,0,0,0,0,0,0,0,0
125,12,Butterfree,60,45,50,70,80,Bug,Flying,45,160,Confusion,,,,0,42,67,56,240,67,40,2,0
112,13,Weedle,40,35,30,50,20,Bug,Poison,255,52,PoisonSting,StringShot,,,0,0,0,0,0,0,0,0,0
113,14,Kakuna,45,25,50,35,25,Bug,Poison,120,71,Harden,,,,0,0,0,0,0,0,0,0,0
114,15,Beedrill,65,80,40,75,45,Bug,Poison,45,159,FuryAttack,,,,0,36,67,24,192,195,8,6,0
36,16,Pidgey,40,45,40,56,35,Normal,Flying,255,55,Gust,,,,3,42,3,8,192,67,12,10,0
150,17,Pidgeotto,63,60,55,71,50,Normal,Flying,120,113,Gust,SandAttack,,,3,42,3,8,192,67,12,10,0
151,18,Pidgeot,83,80,75,91,70,Normal,Flying,45,172,Gust,SandAttack,QuickAttack,,3,42,67,8,192,67,12,10,0
165,19,Rattata,30,56,35,72,25,Normal,Normal,255,57,Tackle,TailWhip,,,0,160,47,136,201,194,8,2,0
166,20,Raticate,55,81,60,97,50,Normal,Normal,90,116,Tackle,TailWhip,QuickAttack,,0,160,127,136,201,194,8,2,0
5,21,Spearow,40,60,30,70,31,Normal,Flying,255,58,Peck,Growl,,,0,42,3,8,192,66,12,10,0
35,22,Fearow,65,90,65,100,61,Normal,Flying,90,162,Peck,Growl,Leer,,0,42,67,8,192,66,12,10,0
108,23,Ekans,35,60,44,55,40,Poison,Poison,255,62,Wrap,Leer,,,0,160,3,24,206,130,136,34,0
45,24,Arbok,60,85,69,80,65,Poison,Poison,90,147,Wrap,Leer,PoisonSting,,0,160,67,24,206,130,136,34,0
84,25,Pikachu,35,55,30,90,50,Electric,Electric,190,82,Thundershock,Growl,,,0,177,131,141,193,195,24,66,0
85,26,Raichu,60,90,55,100,90,Electric,Electric,75,122,Thundershock,Growl,ThunderWave,,0,177,195,141,193,195,24,66,0
96,27,Sandshrew,50,75,85,40,30,Ground,Ground,255,93,Scratch,,,,0,164,3,13,206,194,136,38,0
97,28,Sandslash,75,100,110,65,55,Ground,Ground,90,163,Scratch,SandAttack,,,0,164,67,13,206,194,136,38,0
15,29,NidoranFemale,55,47,52,41,40,Poison,Poison,235,59,Growl,Tackle,,,3,160,35,136,193,131,8,2,0
168,30,Nidorina,70,62,67,56,55,Poison,Poison,120,117,Growl,Tackle,Scratch,,3,224,63,136,193,131,8,2,0
16,31,Nidoqueen,90,82,87,76,75,Poison,Ground,45,194,Tackle,Scratch,TailWhip,BodySlam,3,241,255,143,199,163,136,50,0
3,32,NidoranMale,46,57,40,50,40,Poison,Poison,235,60,Leer,Tackle,,,3,224,35,136,193,131,8,2,0
167,33,Nidorino,61,72,57,65,55,Poison,Poison,120,118,Leer,Tackle,HornAttack,,3,224,63,136,193,131,8,2,0
7,34,Nidoking,81,92,77,85,75,Poison,Ground,45,195,Tackle,HornAttack,PoisonSting,Thrash,3,241,255,143,199,163,136,50,0
4,35,Clefairy,70,45,48,35,60,Normal,Normal,150,68,Pound,Growl,,,4,177,63,175,241,167,56,99,0
142,36,Clefable,95,70,73,60,85,Normal,Normal,25,129,Sing,Doubleslap,Minimize,Metronome,4,177,127,175,241,167,56,99,0
82,37,Vulpix,38,41,40,65,65,Fire,Fire,190,63,Ember,TailWhip,,,0,160,3,8,200,227,8,2,0
83,38,Ninetales,73,76,75,100,100,Fire,Fire,75,178,Ember,TailWhip,QuickAttack,Roar,0,160,67,8,200,227,8,2,0
100,39,Jigglypuff,115,45,20,20,25,Normal,Normal,170,76,Sing,,,,4,177,63,175,241,163,56,99,0
101,40,Wigglytuff,140,70,45,45,50,Normal,Normal,50,109,Sing,Disable,DefenseCurl,Doubleslap,4,177,127,175,241,163,56,99,0
107,41,Zubat,40,45,35,55,40,Poison,Flying,255,54,LeechLife,,,,0,42,3,24,192,66,8,2,0
130,42,Golbat,75,80,70,90,75,Poison,Flying,90,171,LeechLife,Screech,Bite,,0,42,67,24,192,66,8,2,0
185,43,Oddish,45,50,55,30,75,Grass,Poison,255,78,Absorb,,,,3,36,3,56,192,3,8,6,0
186,44,Gloom,60,65,70,40,85,Grass,Poison,120,132,Absorb,Poisonpowder,StunSpore,,3,36,3,56,192,3,8,6,0
187,45,Vileplume,75,80,85,50,100,Grass,Poison,45,184,StunSpore,SleepPowder,Acid,PetalDance,3,164,67,56,192,3,8,6,0
109,46,Paras,35,70,55,25,55,Bug,Grass,190,70,Scratch,,,,0,164,3,56,200,131,8,6,0
46,47,Parasect,60,95,80,30,80,Bug,Grass,75,128,Scratch,StunSpore,LeechLife,,0,164,67,56,200,131,8,6,0
65,48,Venonat,60,55,50,45,40,Bug,Poison,190,75,Tackle,Disable,,,0,32,3,56,208,3,40,2,0
119,49,Venomoth,70,65,60,90,90,Bug,Poison,75,138,Tackle,Disable,Poisonpowder,LeechLife,0,42,67,56,240,67,40,2,0
