species,gray00,gray55,grayAA,grayFF
Bulbasaur,#000000,#FF5231,#A5E65A,#FFFFFF
Ivysaur,#000000,#FFC54A,#A5E65A,#FFFFFF
Venusaur,#000000,#FFB519,#94CE5A,#FFFFFF
Charmander,#000000,#FF8410,#FFC531,#FFFFFF
Charmeleon,#000000,#BD4A6B,#FFAD7B,#FFFFFF
Charizard,#000000,#42AD73,#A57BAD,#FFFFFF
Squirtle,#000000,#8CCEF7,#6BBD42,#FFFFFF
Wartortle,#000000,#949CFF,#6BBD42,#FFFFFF
Blastoise,#000000,#8484A5,#73AD3A,#FFFFFF
Caterpie,#000000,#FF638C,#DEC531,#FFFFFF
Metapod,#000000,#C57300,#E69C6B,#FFFFFF
Butterfree,#000000,#7BFF00,#FF7BBD,#FFFFFF
Weedle,#000000,#D63AEF,#BDDE29,#FFFFFF
Kakuna,#000000,#6B8C3A,#A5DE21,#FFFFFF
Beedrill,#000000,#423ADE,#8CA56B,#FFFFFF
Pidgey,#000000,#A59C42,#F7E663,#FFFFFF
Pidgeotto,#000000,#9C7329,#AD9C29,#FFFFFF
Pidgeot,#000000,#7B8C10,#FFA573,#FFFFFF
Rattata,#000000,#A58C6B,#B5BD9C,#FFFFFF
Raticate,#000000,#D68419,#BDCE7B,#FFFFFF
Spearow,#000000,#C56B08,#F7D600,#FFFFFF
Fearow,#000000,#C58C3A,#848452,#FFFFFF
Ekans,#000000,#4A5A29,#A5BD6B,#FFFFFF
Arbok,#000000,#A552F7,#949C5A,#FFFFFF
Pikachu,#000000,#A5105A,#FF8C00,#FFFFFF
Raichu,#000000,#C59C10,#AD9CA5,#FFFFFF
Sandshrew,#000000,#5A427B,#848452,#FFFFFF
Sandslash,#000000,#AD3108,#849421,#FFFFFF
NidoranFemale,#000000,#298C08,#DE8CE6,#FFFFFF
Nidorina,#000000,#317B52,#FF8CF7,#FFFFFF
Nidoqueen,#000000,#5A6B42,#FF84FF,#FFFFFF
NidoranMale,#000000,#8C427B,#94ADFF,#FFFFFF
Nidorino,#000000,#BD21CE,#A5BDFF,#FFFFFF
Nidoking,#000000,#7B4ABD,#6B8CFF,#FFFFFF
Clefairy,#000000,#429400,#FF6BCE,#FFFFFF
Clefable,#000000,#429400,#FF6BCE,#FFFFFF
Vulpix,#000000,#B58408,#FFC508,#FFFFFF
Ninetales,#000000,#8C8CBD,#DEB5CE,#FFFFFF
Jigglypuff,#000000,#4AC519,#FF8CFF,#FFFFFF
Wigglytuff,#000000,#4AC519,#FF8CFF,#FFFFFF
Zubat,#000000,#528C31,#DE7BF7,#FFFFFF
Golbat,#000000,#3A7B00,#EF639C,#FFFFFF
Oddish,#000000,#42945A,#FFD621,#FFFFFF
Gloom,#000000,#6B8C63,#FFAD29,#FFFFFF
Vileplume,#000000,#427B6B,#FFAD19,#FFFFFF
Paras,#000000,#736B08,#DE9C19,#FFFFFF
Parasect,#000000,#948429,#FFAD4A,#FFFFFF
Venonat,#000000,#5A29B5,#738CFF,#FFFFFF
Venomoth,#000000,#8C31AD,#847BFF,#FFFFFF
Diglett,#000000,#6331DE,#9C5A21,#FFFFFF
Dugtrio,#000000,#6331DE,#9C5A21,#FFFFFF
Meowth,#000000,#D61094,#FFB563,#FFFFFF
Persian,#000000,#E64ADE,#FFE652,#FFFFFF
Psyduck,#000000,#525AA5,#AD9CFF,#FFFFFF
Golduck,#000000,#3A8CF7,#E6526B,#FFFFFF
Mankey,#000000,#A5843A,#9CB55A,#FFFFFF
Primeape,#000000,#848431,#BD8C31,#FFFFFF
Growlithe,#000000,#AD6B00,#BDA53A,#FFFFFF
Arcanine,#000000,#9C8C08,#C58C7B,#FFFFFF
Poliwag,#000000,#4242EF,#D6428C,#FFFFFF
Poliwhirl,#000000,#4252FF,#4A84D6,#FFFFFF
Poliwrath,#000000,#428C7B,#5AC5D6,#FFFFFF
Abra,#000000,#A54A9C,#E6C552,#FFFFFF
Kadabra,#000000,#A54A9C,#E6C552,#FFFFFF
Alakazam,#000000,#AD10AD,#9C9C19,#FFFFFF
Machop,#000000,#31424A,#7B735A,#FFFFFF
Machoke,#000000,#3A31CE,#73845A,#FFFFFF
Machamp,#000000,#4A6321,#738C5A,#FFFFFF
Bellsprout,#000000,#A552AD,#A5A53A,#FFFFFF
Weepinbell,#000000,#9C4A9C,#B5E63A,#FFFFFF
Victreebel,#000000,#7363FF,#A5BD19,#FFFFFF
Tentacool,#000000,#429C6B,#9C9CFF,#FFFFFF
Tentacruel,#000000,#29A500,#8CA5FF,#FFFFFF
Geodude,#000000,#7B6B3A,#C58C7B,#FFFFFF
Graveler,#000000,#845A3A,#BD7363,#FFFFFF
Golem,#000000,#9C3A19,#CE7B63,#FFFFFF
Ponyta,#000000,#9C6B63,#BD9C84,#FFFFFF
Rapidash,#000000,#8C52DE,#B59CA5,#FFFFFF
Slowpoke,#000000,#8C00FF,#B55AD6,#FFFFFF
Slowbro,#000000,#949400,#AD52FF,#FFFFFF
Magnemite,#000000,#A53A3A,#9CA59C,#FFFFFF
Magneton,#000000,#945A5A,#7B8494,#FFFFFF
Farfetchd,#000000,#63A508,#A58473,#FFFFFF
Doduo,#000000,#948400,#E6BD00,#FFFFFF
Dodrio,#000000,#948400,#FFC508,#FFFFFF
Seel,#000000,#EF3A29,#A59CB5,#FFFFFF
Dewgong,#000000,#945A73,#A59CA5,#FFFFFF
Grimer,#000000,#5A5252,#849C08,#FFFFFF
Muk,#000000,#526B19,#7BA54A,#FFFFFF
Shellder,#000000,#AD4A21,#C58C3A,#FFFFFF
Cloyster,#000000,#5A21FF,#A563E6,#FFFFFF
Gastly,#000000,#293A5A,#848CF7,#FFFFFF
Haunter,#000000,#42009C,#524ADE,#FFFFFF
Gengar,#000000,#7B63BD,#FF00EF,#FFFFFF
Onix,#000000,#735A3A,#7BAD21,#FFFFFF
Drowzee,#000000,#940052,#C56BDE,#FFFFFF
Hypno,#000000,#94526B,#F74ACE,#FFFFFF
Krabby,#000000,#947B21,#ADA5B5,#FFFFFF
Kingler,#000000,#636B5A,#ADB54A,#FFFFFF
Voltorb,#000000,#4A10E6,#A5A58C,#FFFFFF
Electrode,#000000,#4A10E6,#A5A58C,#FFFFFF
Exeggcute,#000000,#9C634A,#BDCE31,#FFFFFF
Exeggutor,#000000,#C5734A,#9C8C42,#FFFFFF
Cubone,#000000,#5A7B4A,#B5B5BD,#FFFFFF
Marowak,#000000,#737B21,#94AD7B,#FFFFFF
Hitmonlee,#000000,#6B426B,#8CAD29,#FFFFFF
Hitmonchan,#000000,#4219FF,#848C63,#FFFFFF
Lickitung,#000000,#E64A73,#C5B54A,#FFFFFF
Koffing,#000000,#4A63BD,#84A5CE,#FFFFFF
Weezing,#000000,#4A63BD,#84A5CE,#FFFFFF
Rhyhorn,#000000,#7B5A6B,#B57B8C,#FFFFFF
Rhydon,#000000,#63638C,#B5ADAD,#FFFFFF
Chansey,#000000,#6B9C08,#DECE9C,#FFFFFF
Tangela,#000000,#8C3131,#94F700,#FFFFFF
Kangaskhan,#000000,#195A19,#84849C,#FFFFFF
Horsea,#000000,#637BFF,#FF63C5,#FFFFFF
Seadra,#000000,#5221EF,#FF5ADE,#FFFFFF
Goldeen,#000000,#F77300,#EF9C00,#FFFFFF
Seaking,#000000,#D6B510,#ADDE94,#FFFFFF
Staryu,#000000,#426BF7,#94849C,#FFFFFF
Starmie,#000000,#5A5AFF,#EF4A5A,#FFFFFF
MrMime,#000000,#8C9C00,#FF5AFF,#FFFFFF
Scyther,#000000,#E64A00,#8CC500,#FFFFFF
Jynx,#000000,#73107B,#FF4ADE,#FFFFFF
Electabuzz,#000000,#94A500,#FFCE00,#FFFFFF
